,fecha,corriente,primera,extra
0,2016-01-04,14000.0,16000.0,16000.0
1,2016-01-05,14000.0,16000.0,16000.0
2,2016-01-06,14000.0,16000.0,16000.0
3,2016-01-07,24000.0,26000.0,26000.0
4,2016-01-08,24000.0,26000.0,26000.0
5,2016-01-09,24000.0,26000.0,26000.0
6,2016-01-12,24000.0,25000.0,25000.0
7,2016-01-13,21000.0,23000.0,23000.0
8,2016-01-14,21000.0,23000.0,23000.0
9,2016-01-15,21000.0,23000.0,23000.0
10,2016-01-16,26000.0,28000.0,28000.0
11,2016-01-18,26000.0,28000.0,28000.0
12,2016-01-19,26000.0,28000.0,28000.0
13,2016-01-20,26000.0,28000.0,28000.0
14,2016-01-21,26000.0,28000.0,28000.0
15,2016-01-22,26000.0,28000.0,28000.0
16,2016-01-23,26000.0,28000.0,28000.0
17,2016-01-25,26000.0,28000.0,28000.0
18,2016-01-26,26000.0,28000.0,28000.0
19,2016-01-28,26000.0,28000.0,28000.0
20,2016-01-29,26000.0,28000.0,28000.0
21,2016-02-01,28000.0,30000.0,30000.0
22,2016-02-02,28000.0,30000.0,30000.0
23,2016-02-04,22000.0,24000.0,24000.0
24,2016-02-06,22000.0,24000.0,24000.0
25,2016-02-08,22000.0,24000.0,24000.0
26,2016-02-09,16000.0,17000.0,17000.0
27,2016-02-12,16000.0,17000.0,17000.0
28,2016-02-13,16000.0,17000.0,17000.0
29,2016-02-15,16000.0,17000.0,17000.0
30,2016-02-16,13000.0,14000.0,14000.0
31,2016-02-17,13000.0,14000.0,14000.0
32,2016-02-18,13000.0,14000.0,14000.0
33,2016-02-19,13000.0,14000.0,14000.0
34,2016-02-22,14000.0,15000.0,15000.0
35,2016-02-23,12000.0,13000.0,13000.0
36,2016-02-24,12000.0,13000.0,13000.0
37,2016-02-25,12000.0,13000.0,13000.0
38,2016-02-26,12000.0,13000.0,13000.0
39,2016-02-29,14000.0,15000.0,15000.0
40,2016-03-01,20000.0,21000.0,21000.0
41,2016-03-02,20000.0,21000.0,21000.0
42,2016-03-03,20000.0,21000.0,21000.0
43,2016-03-04,20000.0,22000.0,22000.0
44,2016-03-05,24000.0,26000.0,26000.0
45,2016-03-07,26000.0,28000.0,28000.0
46,2016-03-08,26000.0,28000.0,28000.0
47,2016-03-09,22000.0,24000.0,24000.0
48,2016-03-10,26000.0,28000.0,28000.0
49,2016-03-11,26000.0,28000.0,28000.0
50,2016-03-14,21000.0,23000.0,23000.0
51,2016-03-15,21000.0,23000.0,23000.0
52,2016-03-16,21000.0,23000.0,23000.0
53,2016-03-17,21000.0,23000.0,23000.0
54,2016-03-18,21000.0,23000.0,23000.0
55,2016-03-19,21000.0,23000.0,23000.0
56,2016-03-22,21000.0,23000.0,23000.0
57,2016-03-23,21000.0,23000.0,23000.0
58,2016-03-28,18000.0,19000.0,19000.0
59,2016-03-29,20000.0,22000.0,22000.0
60,2016-03-30,20000.0,22000.0,22000.0
61,2016-03-31,20000.0,22000.0,22000.0
62,2016-04-01,20000.0,22000.0,22000.0
63,2016-04-04,26000.0,28000.0,28000.0
64,2016-04-05,26000.0,28000.0,28000.0
65,2016-04-06,30000.0,33000.0,33000.0
66,2016-04-07,30000.0,33000.0,33000.0
67,2016-04-08,30000.0,33000.0,33000.0
68,2016-04-09,30000.0,33000.0,33000.0
69,2016-04-11,30000.0,33000.0,33000.0
70,2016-04-12,30000.0,33000.0,33000.0
71,2016-04-13,26000.0,28000.0,28000.0
72,2016-04-14,26000.0,28000.0,28000.0
73,2016-04-15,26000.0,28000.0,28000.0
74,2016-04-18,30000.0,33000.0,33000.0
75,2016-04-19,26000.0,28000.0,28000.0
76,2016-04-20,26000.0,28000.0,28000.0
77,2016-04-21,30000.0,33000.0,33000.0
78,2016-04-22,30000.0,33000.0,33000.0
79,2016-04-23,26000.0,28000.0,28000.0
80,2016-04-25,20000.0,23000.0,23000.0
81,2016-04-26,20000.0,23000.0,23000.0
82,2016-04-27,26000.0,28000.0,28000.0
83,2016-04-28,26000.0,28000.0,28000.0
84,2016-04-29,21000.0,23000.0,23000.0
85,2016-05-02,21000.0,23000.0,23000.0
86,2016-05-03,26000.0,28000.0,28000.0
87,2016-05-04,26000.0,28000.0,28000.0
88,2016-05-05,26000.0,28000.0,28000.0
89,2016-05-06,26000.0,28000.0,28000.0
90,2016-05-07,30000.0,33000.0,33000.0
91,2016-05-10,20000.0,23000.0,23000.0
92,2016-05-11,24000.0,26000.0,26000.0
93,2016-05-12,20000.0,23000.0,23000.0
94,2016-05-13,26000.0,28000.0,28000.0
95,2016-05-16,20000.0,23000.0,23000.0
96,2016-05-17,20000.0,23000.0,23000.0
97,2016-05-18,20000.0,23000.0,23000.0
98,2016-05-19,16000.0,18000.0,18000.0
99,2016-05-20,16000.0,18000.0,18000.0
100,2016-05-21,20000.0,23000.0,23000.0
101,2016-05-23,18000.0,19000.0,19000.0
102,2016-05-24,18000.0,19000.0,19000.0
103,2016-05-25,18000.0,19000.0,19000.0
104,2016-05-26,18000.0,19000.0,19000.0
105,2016-05-27,18000.0,19000.0,19000.0
106,2016-05-31,18000.0,19000.0,19000.0
107,2016-06-01,18000.0,19000.0,19000.0
108,2016-06-02,18000.0,19000.0,19000.0
109,2016-06-03,18000.0,19000.0,19000.0
110,2016-06-04,18000.0,19000.0,19000.0
111,2016-06-07,24000.0,26000.0,26000.0
112,2016-06-08,24000.0,26000.0,26000.0
113,2016-06-09,21000.0,23000.0,23000.0
114,2016-06-10,21000.0,23000.0,23000.0
115,2016-06-13,11000.0,13000.0,13000.0
116,2016-06-14,11000.0,13000.0,13000.0
117,2016-06-15,11000.0,13000.0,13000.0
118,2016-06-16,11000.0,13000.0,13000.0
119,2016-06-17,11000.0,13000.0,13000.0
120,2016-06-20,11000.0,13000.0,13000.0
121,2016-06-21,11000.0,13000.0,13000.0
122,2016-06-22,11000.0,13000.0,13000.0
123,2016-06-23,11000.0,13000.0,13000.0
124,2016-06-24,11000.0,13000.0,13000.0
