fecha,primera,corriente
2016-01-04,1405,1230
2016-01-05,1405,1230
2016-01-06,1405,1230
2016-01-07,2283,2108
2016-01-08,2283,2108
2016-01-09,2283,2108
2016-01-10,2196,2108
2016-01-11,2196,2108
2016-01-12,2196,2108
2016-01-13,2020,1844
2016-01-14,2020,1844
2016-01-15,2020,1844
2016-01-16,2459,2283
2016-01-17,2459,2283
2016-01-18,2459,2283
2016-01-19,2459,2283
2016-01-20,2459,2283
2016-01-21,2459,2283
2016-01-22,2459,2283
2016-01-23,2459,2283
2016-01-24,2459,2283
2016-01-25,2459,2283
2016-01-26,2459,2283
2016-01-27,1892,1702
2016-01-28,2459,2283
2016-01-29,2459,2283
2016-01-30,2081,1892
2016-01-31,1465,1379
2016-02-01,1465,1379
2016-02-02,1465,1379
2016-02-03,1671,1578
2016-02-04,2069,1896
2016-02-05,1671,1578
2016-02-06,2069,1896
2016-02-07,2069,1896
2016-02-08,2069,1896
2016-02-09,1465,1379
2016-02-10,1486,1393
2016-02-11,1486,1393
2016-02-12,1465,1379
2016-02-13,1465,1379
2016-02-14,1465,1379
2016-02-15,1465,1379
2016-02-16,1207,1121
2016-02-17,1207,1121
2016-02-18,1207,1121
2016-02-19,1207,1121
2016-02-20,1393,1393
2016-02-21,1293,1207
2016-02-22,1293,1207
2016-02-23,1121,1034
2016-02-24,1121,1034
2016-02-25,1121,1034
2016-02-26,1121,1034
2016-02-27,1578,1486
2016-02-28,1293,1207
2016-02-29,1293,1207
2016-03-01,1722,1640
2016-03-02,1722,1640
2016-03-03,1722,1640
2016-03-04,1804,1640
2016-03-05,2132,1968
2016-03-06,2296,2132
2016-03-07,2296,2132
2016-03-08,2296,2132
2016-03-09,1968,1804
2016-03-10,2296,2132
2016-03-11,2296,2132
2016-03-12,1886,1722
2016-03-13,1886,1722
2016-03-14,1886,1722
2016-03-15,1886,1722
2016-03-16,1886,1722
2016-03-17,1886,1722
2016-03-18,1886,1722
2016-03-19,1886,1722
2016-03-20,2649,2473
2016-03-21,2649,2473
2016-03-22,1886,1722
2016-03-23,1886,1722
2016-03-24,1558,1476
2016-03-25,1558,1476
2016-03-26,1558,1476
2016-03-27,1558,1476
2016-03-28,1558,1476
2016-03-29,1804,1640
2016-03-30,1804,1640
2016-03-31,1804,1640
2016-04-01,1815,1650
2016-04-02,2665,2665
2016-04-03,2310,2145
2016-04-04,2310,2145
2016-04-05,2310,2145
2016-04-06,2723,2475
2016-04-07,2723,2475
2016-04-08,2723,2475
2016-04-09,2723,2475
2016-04-10,2723,2475
2016-04-11,2723,2475
2016-04-12,2723,2475
2016-04-13,2310,2145
2016-04-14,2310,2145
2016-04-15,2310,2145
2016-04-16,3110,2145
2016-04-17,2723,2475
2016-04-18,2723,2475
2016-04-19,2310,2145
2016-04-20,2310,2145
2016-04-21,2723,2475
2016-04-22,2723,2475
2016-04-23,2310,2145
2016-04-24,1898,1650
2016-04-25,1898,1650
2016-04-26,1898,1650
2016-04-27,2310,2145
2016-04-28,2310,2145
2016-04-29,1898,1733
2016-04-30,2843,2843
2016-05-01,1835,1676
2016-05-02,1835,1676
2016-05-03,2234,2075
2016-05-04,2234,2075
2016-05-05,2234,2075
2016-05-06,2234,2075
2016-05-07,2633,2394
2016-05-08,1835,1596
2016-05-09,1835,1596
2016-05-10,1835,1596
2016-05-11,2075,1915
2016-05-12,1835,1596
2016-05-13,2234,2075
2016-05-14,2750,2578
2016-05-15,1835,1596
2016-05-16,1835,1596
2016-05-17,1835,1596
2016-05-18,1835,1596
2016-05-19,1436,1277
2016-05-20,1436,1277
2016-05-21,1835,1596
2016-05-22,1516,1436
2016-05-23,1516,1436
2016-05-24,1516,1436
2016-05-25,1516,1436
2016-05-26,1516,1436
2016-05-27,1516,1436
2016-05-28,1891,1719
2016-05-29,1891,1891
2016-05-30,1891,1891
2016-05-31,1516,1436
2016-06-01,1446,1369
2016-06-02,1446,1369
2016-06-03,1446,1369
2016-06-04,1446,1369
2016-06-05,1978,1826
2016-06-06,1978,1826
2016-06-07,1978,1826
2016-06-08,1978,1826
2016-06-09,1750,1598
2016-06-10,1750,1598
2016-06-11,2294,2212
2016-06-12,989,837
2016-06-13,989,837
2016-06-14,989,837
2016-06-15,989,837
2016-06-16,989,837
2016-06-17,989,837
2016-06-18,1803,1639
2016-06-19,989,837
2016-06-20,989,837
2016-06-21,989,837
2016-06-22,989,837
2016-06-23,989,837
2016-06-24,989,837
2016-06-25,1803,1639
2016-06-26,989,837
2016-06-27,989,837
2016-06-28,989,837
2016-06-29,989,837
2016-06-30,989,913
2016-07-01,1021,948
2016-07-02,1021,948
2016-07-03,1094,1021
2016-07-04,1094,1021
2016-07-05,1094,1021
2016-07-06,1094,1021
2016-07-07,1094,1021
2016-07-08,1094,1021
2016-07-09,1094,1021
2016-07-10,1313,1021
2016-07-11,1313,1021
2016-07-12,1167,1021
2016-07-13,1167,1021
2016-07-14,1167,1021
2016-07-15,1167,1021
2016-07-16,1021,948
2016-07-17,1021,948
2016-07-18,1021,948
2016-07-19,1021,948
2016-07-20,1094,1021
2016-07-21,1021,948
2016-07-22,1021,948
2016-07-23,1094,1021
2016-07-24,1021,948
2016-07-25,1021,948
2016-07-26,1021,948
2016-07-27,1021,948
2016-07-28,948,875
2016-07-29,1021,948
2016-07-30,1094,1021
2016-07-31,1131,1050
2016-08-01,1131,1050
2016-08-02,1131,1050
2016-08-03,1131,1050
2016-08-04,1131,1050
2016-08-05,1131,1050
2016-08-06,1131,1050
2016-08-07,1131,1050
2016-08-08,1131,1050
2016-08-09,1131,1050
2016-08-10,1131,1050
2016-08-11,1131,1050
2016-08-12,1212,969
2016-08-13,1218,1131
2016-08-14,1050,889
2016-08-15,1050,889
2016-08-16,1050,889
2016-08-17,1050,889
2016-08-18,1050,889
2016-08-19,1050,889
2016-08-20,1050,889
2016-08-21,1050,889
2016-08-22,1050,889
2016-08-23,1050,889
2016-08-24,1050,889
2016-08-25,1050,889
2016-08-26,1050,889
2016-08-27,1218,1218
2016-08-28,1050,889
2016-08-29,1050,889
2016-08-30,1050,889
2016-08-31,1050,889
2016-09-01,1170,990
2016-09-02,1170,990
2016-09-03,1170,990
2016-09-04,1170,990
2016-09-05,1170,990
2016-09-06,1170,990
2016-09-07,1170,990
2016-09-08,1170,990
2016-09-09,1170,990
2016-09-10,1170,990
2016-09-11,1170,990
2016-09-12,1170,990
2016-09-13,1170,990
2016-09-14,1454,1357
2016-09-15,1170,990
2016-09-16,1170,990
2016-09-17,1350,1260
2016-09-18,1350,1260
2016-09-19,1350,1260
2016-09-20,1350,1260
2016-09-21,1350,1260
2016-09-22,1350,1260
2016-09-23,1350,1260
2016-09-24,1551,1454
2016-09-25,1170,1080
2016-09-26,1170,1080
2016-09-27,1170,1080
2016-09-28,1170,1080
2016-09-29,1170,1080
2016-09-30,1170,1080
2016-10-01,1313,1212
2016-10-02,1313,1212
2016-10-03,1313,1212
2016-10-04,1313,1212
2016-10-05,1616,1414
2016-10-06,1616,1414
2016-10-07,1414,1313
2016-10-08,1740,1740
2016-10-09,1414,1313
2016-10-10,1414,1313
2016-10-11,1111,1010
2016-10-12,909,808
2016-10-13,909,808
2016-10-14,909,808
2016-10-15,909,808
2016-10-16,909,808
2016-10-17,909,808
2016-10-18,909,808
2016-10-19,909,808
2016-10-20,909,808
2016-10-21,909,808
2016-10-22,1522,1414
2016-10-23,909,808
2016-10-24,909,808
2016-10-25,909,808
2016-10-26,909,808
2016-10-27,909,808
2016-10-28,909,808
2016-10-29,909,808
2016-10-30,909,808
2016-10-31,909,808
2016-11-01,1317,1208
2016-11-02,1098,988
2016-11-03,1208,1098
2016-11-04,1208,1098
2016-11-05,1317,1208
2016-11-06,1317,1208
2016-11-07,1317,1208
2016-11-08,1208,1098
2016-11-09,1208,1098
2016-11-10,1208,1098
2016-11-11,1208,1098
2016-11-12,1427,1317
2016-11-13,1317,1208
2016-11-14,1317,1208
2016-11-15,1317,1208
2016-11-16,1317,1208
2016-11-17,1317,1208
2016-11-18,1317,1208
2016-11-19,1317,1208
2016-11-20,1317,1208
2016-11-21,1317,1208
2016-11-22,1317,1208
2016-11-23,1317,1208
2016-11-24,1317,1208
2016-11-25,1317,1208
2016-11-26,1317,1208
2016-11-27,1317,1208
2016-11-28,1317,1208
2016-11-29,1317,1208
2016-11-30,1317,1208
2016-12-01,1365,1593
2016-12-02,1365,1593
2016-12-03,1707,1593
2016-12-04,1593,1479
2016-12-05,1593,1479
2016-12-06,1593,1479
2016-12-07,1593,1479
2016-12-08,1707,1593
2016-12-09,1593,1479
2016-12-10,1593,1479
2016-12-11,1593,1479
2016-12-12,1593,1479
2016-12-13,1593,1479
2016-12-14,1707,1593
2016-12-15,1707,1593
2016-12-16,1821,1593
2016-12-17,2083,1593
2016-12-18,1821,1593
2016-12-19,1821,1593
2016-12-20,1821,1593
2016-12-21,1593,1479
2016-12-22,1593,1479
2016-12-23,1593,1479
2016-12-24,1593,1479
2016-12-25,1821,1593
2016-12-26,1821,1593
2016-12-27,1821,1593
2016-12-28,1821,1593
2016-12-29,1821,1593
2016-12-30,1821,1593
2016-12-31,1961,1593
2017-01-01,1914,1675
2017-01-02,1914,1675
2017-01-03,1914,1675
2017-01-04,1914,1675
2017-01-05,1914,1675
2017-01-06,1914,1675
2017-01-07,1914,1675
2017-01-08,1794,1675
2017-01-09,1794,1675
2017-01-10,1794,1675
2017-01-11,1794,1675
2017-01-12,1794,1675
2017-01-13,1794,1675
2017-01-14,1914,1794
2017-01-15,1914,1794
2017-01-16,1914,1794
2017-01-17,1914,1794
2017-01-18,1914,1794
